Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
1188450194142610,2020-08-11,,2020-08-11,Ver calificaciones (Link para ver descripción de la nota),Repositorio Profesor,,,,,,,Goova,
1188450194142608,2020-08-11,,2020-08-11,Revisar información subida al foro,Repositorio Profesor,,,,,,,Goova,
1188450194142606,2020-08-11,,2020-08-11,Abrir foros,Repositorio Profesor,,,,,,,Goova,
1188450194142604,2020-08-11,,2020-08-11,Calificar Evaluaciones,Repositorio Profesor,,,,,,,Goova,
1188450194142602,2020-08-11,,2020-08-11,Crear Evaluaciones,Repositorio Profesor,,,,,,,Goova,
1188450194142600,2020-08-11,,2020-08-11,Calificar tareas,Repositorio Profesor,,,,,,,Goova,
1188450194142598,2020-08-11,,2020-08-11,Visualizar tareas,Repositorio Profesor,,,,,,,Goova,
1188450194142596,2020-08-11,,2020-08-11,Crear tareas,Repositorio Profesor,,,,,,,Goova,
1188450194142593,2020-08-11,,2020-08-11,Presentar evaluaciones,Repositorio Estudiante,,,,,,,Goova,
1188450194142591,2020-08-11,,2020-08-11,Mandar mensajes a cualquier usuario de la entidad,Repositorio Estudiante,,,,,,,Goova,
1188450194142589,2020-08-11,,2020-08-11,Subir información pendiente,Repositorio Estudiante,,,,,,,Goova,
1188450194142587,2020-08-11,,2020-08-11,Visualizar foros,Repositorio Estudiante,,,,,,,Goova,
1188450194142583,2020-08-11,,2020-08-11,Subir información de las tareas pendientes,Repositorio Estudiante,,,,,,,Goova,
1188450194142576,2020-08-11,,2020-08-11,Visualizar tareas,Repositorio Estudiante,,,,,,,Goova,
